# SPDX-FileCopyrightText: 2026-2026 Wilson Snyder
# SPDX-License-Identifier: LGPL-3.0-only OR Artistic-2.0
mode,instances,verilation_wall_s_median,verilation_rss_kb_median,sim_wall_s_median,sim_rss_kb_median,state_bytes,sim_checksum,cpp_bytes,child_cpp_bytes,shared_eval_functions,shared_eval_cpp_bytes,other_cpp_bytes,scope_shared_procedures,scope_receiver_varscopes,scope_ast_nodes,scope_boundary_scopes,scope_boundary_varscopes,scope_boundary_procedures,scope_boundary_procedure_nodes,sched_shared_order_skips,sched_nba_groups,sched_early_groups,sched_early_fallbacks,sched_nba_internal_actives,boundary_nba_shadow_pairs,boundary_nba_publications,scope_time_s,delayed_time_s,active_top_time_s,sched_order_time_s,parent_nba_vertices,parent_nba_edges,receiver_wrapper_functions,receiver_wrapper_cpp_bytes
flat,1,0.04688152298331261,21224,0.10141010209918022,16028,320,127000000,23864,0,0,0,23864,0,0,151,0,0,0,0,0,0,0,0,0,0,0,3.8e-05,2.7e-05,1.8e-05,3.1e-05,19,23,0,0
shared,1,0.047377945855259895,21136,0.11599624715745449,16028,384,127000000,27995,3182,0,0,27995,0,0,162,1,4,2,11,0,1,1,0,2,1,1,3.9e-05,3.7e-05,2.3e-05,5.6e-05,29,33,2,2574
flat,2,0.046933380886912346,20940,0.10304196365177631,16028,320,2130757608000000,24611,0,0,0,24611,0,0,189,0,0,0,0,0,0,0,0,0,0,0,3.8e-05,3.5e-05,1.8e-05,3.7e-05,27,34,0,0
shared,2,0.047265343368053436,21352,0.13285694550722837,16028,448,2130757608000000,34794,6321,2,1192,33602,2,5,212,2,10,2,11,2,2,0,2,4,2,2,3.9e-05,2.9e-05,2.5e-05,7.4e-05,48,56,6,6723
flat,8,0.048251546919345856,21220,0.10285796411335468,16028,320,4438894332000000,29681,0,0,0,29681,0,0,465,0,0,0,0,0,0,0,0,0,0,0,4.5e-05,3.2e-05,2.1e-05,5.6e-05,75,100,0,0
shared,8,0.04961744416505098,21288,0.17118160519748926,16028,896,4438894332000000,57318,15801,2,1192,56126,14,35,506,8,40,2,11,14,8,0,8,16,8,8,4.9e-05,3.1e-05,3.6e-05,0.000218,150,194,18,19527
flat,32,0.04876213800162077,21488,0.12224449403584003,16028,320,4144341600000000,51902,0,0,0,51902,0,0,1569,0,0,0,0,0,0,0,0,0,0,0,8e-05,5.4e-05,4e-05,0.000103,267,364,0,0
shared,32,0.05114014819264412,21936,0.29635761119425297,16028,2624,4144341600000000,137985,53853,2,1192,136793,62,155,1682,32,160,2,11,62,32,0,32,64,32,32,0.000124,4.5e-05,6.7e-05,0.000334,558,746,66,53835
flat,128,0.05595356784760952,22504,0.38290460128337145,16028,576,4497011216000000,85839,0,0,0,85839,0,0,5985,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.000149,8.1e-05,0.000385,1167,1679,0,0
shared,128,0.06661068461835384,23704,0.9755205055698752,16028,9664,4497011216000000,433388,206277,2,1192,432196,254,635,6386,128,640,2,11,254,128,0,128,256,128,128,0.000435,9.2e-05,0.000178,0.001292,2192,2956,258,204375
flat,512,0.09302656538784504,27612,1.1918653966858983,16820,1344,4495411264000000,269637,0,0,0,269637,0,0,23643,0,0,0,0,0,0,0,0,0,0,0,0.001014,0.000479,0.000294,0.001766,4623,6671,0,0
shared,512,0.1652895649895072,31532,3.7135203210636973,17984,37696,4495411264000000,1652835,817605,2,1192,1651643,1022,2555,25196,512,2560,2,11,1022,512,0,512,1024,512,512,0.002038,0.000272,0.00063,0.004783,8720,11788,1026,818391
